sample_id,scale,pid_k24@2048_f1,pid_k24@2048_f1_strict,pid_k24@512_f1,pid_k24@512_f1_strict,pid_k28@2048_f1,pid_k28@2048_f1_strict,pid_k28@512_f1,pid_k28@512_f1_strict,vae@512_f1,vae@512_f1_strict
00013,0.0,0.4267257326036111,0.10439940187553155,0.3867336486470286,0.13004963936044758,0.3928316369996907,0.08173965739976784,0.3396387142729145,0.11379104303598234,0.32098323906876247,0.10949864134491923
00025,0.0,0.5145165945779029,0.156989450205307,0.50504324877559,0.16917691640707794,0.509078401066596,0.15293439728707986,0.4968336912944147,0.16954541841265516,0.49733181024544126,0.17013557824236647
00040,0.0,0.48541892332799563,0.14278289744466224,0.433885053305548,0.1500048415432073,0.4677267998646668,0.13166823004299438,0.4230684775114016,0.1446451799392976,0.4096069159722355,0.14269951091494693
00073,0.0,0.547118524911917,0.1472202229229711,0.3602405454291022,0.12206384929565725,0.4370475533607723,0.09883801228281787,0.3429858768608384,0.11625201054036481,0.3267722242956897,0.11188201659577435
00079,0.0,0.26425918564501444,0.05765419887579654,0.274021224949139,0.09196770417980916,0.2604707819300025,0.052582004764522634,0.2705637841932505,0.09131447854732444,0.2760460586204925,0.09564799615646395
00080,0.0,0.28587875708903193,0.08513395806420393,0.20142201082091415,0.06579625493901392,0.26520452286026447,0.06906691379874993,0.2040007773399108,0.06689460383529063,0.200033465813333,0.06714424477901894
00106,0.0,0.31394017704087057,0.06643728088005085,0.3466588677947669,0.11868211880347067,0.3074441934204736,0.06043468148221138,0.3271599135094482,0.1108256652186775,0.32188291785206824,0.10818883526434107
00137,0.0,0.43177615260713503,0.11697033230299911,0.379869569801116,0.13059646957566703,0.41623344807930723,0.10886426592797784,0.38046233059614776,0.12959092266348163,0.3676393960284217,0.12565160729800173
00162,0.0,0.4409698641948481,0.12026683214396525,0.3386980154320031,0.11468029543233414,0.3820903473690138,0.09146753612761463,0.3142723104484924,0.1056953327791256,0.2984400050672515,0.10061566131710016
00196,0.0,0.4643019296018166,0.12670790612549712,0.3362253226543177,0.11560624726781385,0.41061536958163863,0.10369271981786099,0.294019736052582,0.09899279362805007,0.27012910114667554,0.09179713052200078
00237,0.0,0.39414983192805814,0.10534131144841215,0.32135194664593636,0.10584764168339958,0.3820637707604322,0.0929443680463807,0.3107029810440181,0.10448806366047746,0.26790673021663897,0.08954093705631803
00239,0.0,0.2929649391402902,0.07543181598219183,0.31011547978442233,0.10757006006363683,0.28384345728718274,0.07110649951074714,0.29404939653263495,0.10083705059624305,0.2945895757302197,0.10269037187239743
00246,0.0,0.08071653269015841,0.018190967144036257,0.06739850706056433,0.022093854216293472,0.06867313151159804,0.013074111025936355,0.05724911200928625,0.018293252029990978,0.052383133375394936,0.01748207772607219
00255,0.0,0.3157402337458703,0.0770556585906115,0.2550726352596774,0.08488151816278375,0.2407754159655051,0.04749950840562537,0.2407810696076724,0.08072255151001975,0.2352164821987474,0.0803619519551869
00287,0.0,0.5413470860799315,0.17073728047167414,0.48315494314489144,0.1680523317155518,0.531236485785673,0.15968393011114781,0.48097015639500124,0.16594849474066015,0.4685204271766913,0.1612873897627057
00355,0.0,0.07772859465493735,0.021893480324158575,0.08382799277716531,0.02692375521721239,0.06381118596949449,0.01632784354091611,0.0869789658674553,0.028790341304852564,0.08517644785886871,0.026503743223474745
